	"Gulkana Glacier AAD, km^2, 100 m bins 1200- 2400"													
														
	1150	1250	1350	1450	1550	1650	1750	1850	1950	2050	2150	2250	2350	2450
1966	0.0190	0.4389	0.9461	1.3978	1.2718	1.7848	1.9086	2.7155	3.2154	2.2424	1.4370	1.0597	0.3695	0.0000
1967	0.0190	0.4391	0.9434	1.3958	1.2672	1.7793	1.9056	2.7171	3.2100	2.2414	1.4369	1.0570	0.3669	0.0000
1968	0.0189	0.4392	0.9408	1.3937	1.2626	1.7738	1.9025	2.7187	3.2047	2.2405	1.4368	1.0543	0.3643	0.0000
1969	0.0189	0.4393	0.9382	1.3916	1.2580	1.7683	1.8995	2.7202	3.1993	2.2396	1.4367	1.0516	0.3617	0.0000
1970	0.0189	0.4395	0.9355	1.3895	1.2534	1.7627	1.8965	2.7218	3.1939	2.2387	1.4366	1.0489	0.3591	0.0000
1971	0.0188	0.4396	0.9329	1.3875	1.2488	1.7572	1.8935	2.7234	3.1886	2.2378	1.4365	1.0462	0.3565	0.0000
1972	0.0188	0.4397	0.9303	1.3854	1.2442	1.7517	1.8904	2.7250	3.1832	2.2368	1.4364	1.0435	0.3539	0.0000
1973	0.0188	0.4399	0.9276	1.3833	1.2396	1.7462	1.8874	2.7265	3.1779	2.2359	1.4363	1.0408	0.3513	0.0000
1974	0.0188	0.4400	0.9250	1.3813	1.2350	1.7406	1.8844	2.7281	3.1725	2.2350	1.4363	1.0381	0.3488	0.0000
1975	0.0187	0.4401	0.9224	1.3792	1.2304	1.7351	1.8813	2.7297	3.1671	2.2341	1.4362	1.0354	0.3462	0.0000
1976	0.0187	0.4403	0.9197	1.3771	1.2258	1.7296	1.8783	2.7313	3.1618	2.2332	1.4361	1.0327	0.3436	0.0000
1977	0.0187	0.4404	0.9171	1.3750	1.2212	1.7240	1.8753	2.7329	3.1564	2.2322	1.4360	1.0300	0.3410	0.0000
1978	0.0186	0.4405	0.9145	1.3730	1.2166	1.7185	1.8723	2.7344	3.1511	2.2313	1.4359	1.0273	0.3384	0.0000
1979	0.0186	0.4407	0.9118	1.3709	1.2120	1.7130	1.8692	2.7360	3.1457	2.2304	1.4358	1.0246	0.3358	0.0000
1980	0.0186	0.4408	0.9092	1.3688	1.2074	1.7075	1.8662	2.7376	3.1403	2.2295	1.4357	1.0219	0.3332	0.0000
1981	0.0185	0.4409	0.9066	1.3667	1.2028	1.7019	1.8632	2.7392	3.1350	2.2286	1.4356	1.0192	0.3306	0.0000
1982	0.0185	0.4411	0.9039	1.3647	1.1982	1.6964	1.8602	2.7408	3.1296	2.2276	1.4355	1.0165	0.3280	0.0000
1983	0.0185	0.4412	0.9013	1.3626	1.1936	1.6909	1.8571	2.7423	3.1242	2.2267	1.4354	1.0138	0.3254	0.0000
1984	0.0184	0.4413	0.8987	1.3605	1.1889	1.6854	1.8541	2.7439	3.1189	2.2258	1.4353	1.0112	0.3228	0.0000
1985	0.0184	0.4414	0.8961	1.3585	1.1843	1.6798	1.8511	2.7455	3.1135	2.2249	1.4352	1.0085	0.3202	0.0000
1986	0.0184	0.4416	0.8934	1.3564	1.1797	1.6743	1.8481	2.7471	3.1082	2.2239	1.4351	1.0058	0.3176	0.0000
1987	0.0183	0.4417	0.8908	1.3543	1.1751	1.6688	1.8450	2.7487	3.1028	2.2230	1.4350	1.0031	0.3150	0.0000
1988	0.0183	0.4418	0.8882	1.3522	1.1705	1.6633	1.8420	2.7502	3.0974	2.2221	1.4349	1.0004	0.3124	0.0000
1989	0.0183	0.4420	0.8855	1.3502	1.1659	1.6577	1.8390	2.7518	3.0921	2.2212	1.4348	0.9977	0.3098	0.0000
