 balance_year	site_name	date_1	date_2	z	winter	annual	winter_ablation(-)	summer_accumulation(+)
1966	A	5/18/66	9/23/66	1421	0.4	-2.71	NaN	0.08
1966	B	5/18/66	8/26/66	1712	1	0.1	NaN	0
1966	C	5/17/66	9/18/66	1960	1.05	0.77	NaN	0.25
1967	A	4/27/67	9/30/67	1420	0.6	-2.25	0	0.1
1967	B	4/27/67	9/8/67	1711	1.05	0.1	NaN	0.1
1967	C	4/26/67	9/9/67	1960	1.3	1.8	0	0.55
1968	A	4/30/68	9/24/68	1419	0.78	-2.73	0	NaN
1968	B	6/16/68	9/5/68	1711	1.14	-1.15	0	0.02
1968	C	6/15/68	9/7/68	1960	2.4	1.19	0	0.06
1969	A	5/17/69	8/20/69	1418	0.38	-2.82	0	0
1969	B	5/26/69	8/20/69	1710	0.55	-1.55	0	0.06
1969	C	5/23/69	8/11/69	1960	0.86	0.15	0	0.21
1970	A	3/15/70	8/28/70	1417	0.42	-1.91	-0.28	0
1970	B	6/12/70	8/25/70	1710	0.92	0.21	0	0.17
1970	C	6/13/70	7/17/70	1960	1.33	1.39	0	0.05
1971	A	6/14/71	8/22/71	1416	0.66	-1.65	NaN	0
1971	B	6/14/71	8/28/71	1710	0.99	-0.61	0	0
1971	C	7/17/71	8/17/71	1960	1.55	1.19	0	0.03
1972	A	5/9/72	9/2/72	1415	0.67	-2.5	-0.19	0
1972	B	6/13/72	8/13/72	1709	1.26	-0.49	-0.06	0
1972	C	5/7/72	8/12/72	1960	1.24	0.66	-0.09	0
1973	A	5/21/73	8/1/73	1414	0.79	-1.11	-0.17	0
1973	B	5/22/73	8/1/73	1709	1.21	0.36	-0.49	0
1973	C	5/22/73	8/1/73	1960	1.74	1.4	0	0.04
1974	A	3/24/74	7/24/74	1413	0.28	-1.77	-0.85	0
1974	B	6/15/74	10/11/74	1708	0.7	-1.52	-0.25	0.14
1974	C	6/17/74	9/4/74	1960	1.01	-0.06	0	NaN
1975	A	6/24/75	8/24/75	1411	0.25	-2.52	NaN	0
1975	B	6/24/75	8/24/75	1708	1.02	-0.5	0	0
1975	D	6/25/75	8/25/75	1854	1.4	0.66	NaN	0
1975	C	6/25/75	8/25/75	1960	1.44	0.54	NaN	0
1976	A	3/28/76	7/27/76	1410	0.56	-2	-0.22	0
1976	B	3/28/76	7/27/76	1708	0.91	0	NaN	0
1976	D	3/28/76	7/28/76	1854	1.12	0.61	-0.39	0
1977	A	3/21/77	9/30/77	1409	0.81	-3.14	-1.9	0.12
1977	B	3/21/77	9/30/77	1707	1.3	-0.56	-1.5	0.31
1977	D	6/23/77	9/24/77	1854	2.07	1.1	0	0.36
1978	A	3/26/78	7/25/78	1408	0.44	-0.89	0	0
1978	B	3/25/78	7/25/78	1707	0.84	0.63	0	0
1978	D	3/25/78	NaN	1854	1.19	0.72	0	0
1979	A	4/23/79	8/24/79	1407	0.77	-2.95	-2.27	0
1979	B	4/22/79	8/24/79	1706	1.3	-0.85	-1.33	0
1979	D	4/23/79	8/24/79	1854	1.53	0.41	0	0
1980	A	4/5/80	9/5/80	1406	0.5	-2.8	-0.55	0
1980	B	6/24/80	9/5/80	1706	0.94	-0.51	-0.41	0.08
1980	D	6/25/80	9/5/80	1854	1.5	1.64	0	0.17
1981	A	3/28/81	9/14/81	1405	0.59	-2.53	-0.3	0.01
1981	B	3/28/81	9/14/81	1705	0.93	0.16	0	0.18
1981	D	3/29/81	9/14/81	1854	1.08	1.27	0	0.65
1982	A	3/27/82	9/1/82	1404	0.48	-2.91	-0.01	0
1982	B	6/19/82	9/11/82	1705	1.19	-0.52	0	0.16
1982	D	6/20/82	9/11/82	1854	2.07	0.99	0	0.19
1983	A	4/25/83	9/9/83	1403	0.4	-3.3	-0.31	NaN
1983	B	4/25/83	9/9/83	1705	0.82	-0.95	0	0.18
1983	D	4/25/83	9/9/83	1854	1.45	1.44	0	0.25
1984	A	3/22/84	8/29/84	1402	0.37	-2.53	0	0
1984	B	6/8/84	8/29/84	1704	1.11	-0.88	0	0.03
1984	D	6/8/84	8/29/84	1854	1.66	0.72	0	0.23
1985	A	3/23/85	9/4/85	1401	0.56	-1.56	-0.52	0
1985	B	3/23/85	9/4/85	1704	1.12	0.2	0	0.05
1985	D	3/23/85	9/5/85	1854	1.47	1.11	0	0.17
1986	A	3/30/86	10/7/86	1400	0.69	-3.07	-0.46	0.07
1986	B	3/30/86	10/7/86	1703	1.16	0.11	0	0.25
1986	D	3/30/86	10/7/86	1854	1.26	1.47	0	0.4
1987	A	3/24/87	8/28/87	1399	0.57	-2.51	0	0
1987	B	3/23/87	8/28/87	1703	1.17	-0.38	0	0
1987	D	3/24/87	NaN	1854	1.51	0.88	0	0
1988	A	4/15/88	9/25/88	1398	0.73	-3.24	-0.58	0.11
1988	B	4/15/88	9/25/88	1703	0.95	-0.63	NaN	0.24
1988	D	4/15/88	9/25/88	1854	1.47	1.25	0	0.36
1989	A	4/1/89	10/1/89	1397	NaN	NaN	0	0
1989	B	1/6/89	12/10/89	1702	0.9	-0.62	0	0.81
1989	D	1/6/89	12/10/89	1854	1.12	1.16	0	0.69
1990	A	5/18/90	9/18/90	1396	0.68	-3.8	NaN	0
1990	B	5/6/90	9/18/90	1702	1.5	-0.6	0	0.23
1990	D	5/6/90	9/18/90	1854	1.61	0.68	0	0.4
1991	A	4/18/91	9/6/91	1394	0.62	-3.21	-0.01	0
1991	B	4/17/91	10/7/91	1701	1.39	0.07	0	0.29
1991	D	4/17/91	10/7/91	1854	1.52	1.16	0	0.35
1992	A	3/26/92	9/22/92	1393	0.52	-2.61	-0.17	0.08
1992	B	3/26/92	9/22/92	1701	0.88	-0.33	0	0.19
1992	D	5/19/92	9/22/92	1854	1.25	0.67	0	0.21
1993	A	3/31/93	8/3/93	1392	0.54	-3.94	0	0
1993	B	3/30/93	9/24/93	1701	0.85	-2.38	0	0.16
1993	D	3/31/93	9/24/93	1854	0.91	-0.43	0	0.29
1994	A	4/28/94	10/31/94	1390	0.56	-3.7	-0.47	0.26
1994	B	4/29/94	10/31/94	1700	1.3	-0.38	0	0.49
1994	D	4/29/94	10/31/94	1853	1.63	0.99	0	0.48
1995	A	4/19/95	9/26/95	1388	0.52	-4.06	0	0
1995	B	4/19/95	9/26/95	1699	0.73	-1.18	0	0.06
1995	D	4/19/95	9/26/95	1853	1.14	0.3	0	0.22
1996	A	4/19/96	9/16/96	1386	0.28	-3.62	NaN	0
1996	B	4/18/96	9/16/96	1699	0.43	-0.89	0	0.05
1996	D	4/18/96	9/16/96	1853	1.16	0.68	0	0.26
1997	A	4/18/97	9/15/97	1383	0.46	-4.71	NaN	0
1997	B	4/19/97	9/15/97	1698	0.7	-2.12	NaN	NaN
1997	D	4/19/97	9/15/97	1853	1.23	-0.53	0	0
1998	A	4/17/98	9/23/98	1381	0.37	-3.44	-0.16	0.05
1998	B	4/17/98	10/2/98	1697	0.58	-0.48	0	0.47
1998	D	4/15/98	10/2/98	1853	0.98	0.81	NaN	0.55
1999	AE	4/22/99	NaN	1379	0.37	-3.88	0	NaN
1999	A	4/22/99	9/14/99	1379	0.32	-4.35	0	0
1999	B	4/20/99	9/14/99	1697	0.91	-1.25	0	0.1
1999	D	4/20/99	9/14/99	1853	1.27	-0.04	0	0.23
2000	AE	4/21/00	10/1/00	1376	0.76	-1.94	NaN	0.05
2000	A	4/21/00	10/1/00	1376	0.82	-2.47	NaN	0.05
2000	B	4/20/00	10/1/00	1696	1.17	0.14	0	0.32
2000	D	4/20/00	10/1/00	1852	1.69	1.33	0	0.55
2001	LA	4/21/01	9/10/01	1291	0.61	-4.4	NaN	0
2001	AE	4/20/01	9/10/01	1374	0.67	-3.42	0	0
2001	A	4/20/01	9/10/01	1374	0.68	-3.84	0	0
2001	B	4/20/01	9/10/01	1695	1.33	-0.93	0	0.06
2001	D	4/19/01	9/10/01	1852	1.68	0.33	0	0.11
2002	LA	4/17/02	NaN	1287	0.09	-4.99	-0.44	0
2002	AE	5/3/02	10/10/02	1372	0.2	-3.74	-0.06	0.17
2002	A	5/3/02	10/10/02	1372	0.28	-4.19	-0.06	0.18
2002	B	5/3/02	10/10/02	1695	0.69	-0.78	0	0.52
2002	D	5/3/02	10/10/02	1852	0.92	0.83	0	0.97
2003	LA	5/2/03	10/17/03	1284	0.73	-4.93	0	0.02
2003	AE	5/1/03	10/17/03	1370	0.91	-3.38	0	0.02
2003	A	5/1/03	10/17/03	1370	0.84	-3.86	0	0.02
2003	B	4/30/03	10/17/03	1694	1.47	-0.34	0	0.09
2003	D	4/30/03	1/22/04	1852	2.2	2.03	0	0.83
2004	LA	4/16/04	8/14/04	1280	0.37	-5.63	0	0
2004	AE	4/16/04	9/30/04	1367	0.4	NaN	0	0
2004	A	4/16/04	NaN	1367	0.36	-6.55	0	0
2004	B	4/15/04	NaN	1693	0.7	-3.88	0	0
2004	D	4/15/04	NaN	1852	1.17	-0.54	0	0
2005	LA	4/14/05	9/8/05	1276	1.22	-4.9	-1.28	0
2005	A	4/14/05	9/8/05	1365	1.18	-4.31	-0.26	0
2005	B	4/13/05	9/2/05	1693	1.44	-1.47	0	0
2005	D	4/13/05	9/8/05	1851	1.98	0.66	0	0.29
2006	LA	4/20/06	9/13/06	1272	0.65	-4.05	-0.22	0
2006	A	4/19/06	9/8/06	1363	0.72	-3.71	-0.26	0
2006	B	4/19/06	9/10/06	1692	1.06	-0.25	NaN	0.17
2006	D	4/19/06	9/10/06	1851	1.64	0.95	0	0.42
2007	LA	4/1/07	9/6/07	1268	NaN	-5.72	NaN	0
2007	A	4/18/07	9/4/07	1361	0.46	-5.25	-0.07	0
2007	B	4/18/07	9/4/07	1691	0.99	-1.74	0	0
2007	D	4/19/07	9/4/07	1851	1.74	0.23	0	0.01
2008	LA	4/1/08	8/29/08	1264	NaN	-3.13	NaN	0
2008	A	4/18/08	8/29/08	1358	0.48	-3.37	-0.35	0
2008	B	4/18/08	10/25/08	1691	0.65	0.33	-0.16	0.58
2008	D	4/17/08	10/25/08	1851	1.09	1.55	0	0.86
2009	LA	4/16/09	9/8/09	1260	0.86	-4.73	-0.02	0
2009	A	4/16/09	9/8/09	1356	0.67	-4.4	-0.18	0
2009	B	4/16/09	9/9/09	1690	1.14	-1.06	NaN	0
2009	D	4/16/09	9/9/09	1851	1.4	0.32	0	0.11
2009	W	4/1/09	9/9/09	1946	NaN	0.74	NaN	0.2
2010	LA	4/15/10	10/21/10	1256	0.31	NaN	-0.18	NaN
2010	A	4/15/10	10/21/10	1352	0.3	-6.59	-0.4	0.01
2010	AB	4/13/10	10/21/10	1552	NaN	NaN	NaN	0.02
2010	B	4/13/10	10/21/10	1689	0.57	-2.1	-0.14	0.1
2010	D	4/13/10	10/22/10	1850	0.82	-0.18	0	0.14
2010	W	4/1/10	10/21/10	1946	NaN	0.1	0	0
2010	X	4/1/10	10/22/10	2030	NaN	0.22	NaN	0.12
2011	A	4/16/11	8/23/11	1348	0.18	-4.34	0	0
2011	AB	4/16/11	8/23/11	1550	0.13	-3.58	0	0
2011	B	4/16/11	8/23/11	1687	0.48	-1.82	0	0
2011	D	4/17/11	8/25/11	1849	0.43	-0.52	0	0.14
2011	V	4/18/11	8/25/11	1881	0.58	-1.06	0	0.04
2011	W	4/17/11	8/26/11	1946	0.73	NaN	NaN	NaN
2011	X	4/17/11	8/26/11	2030	0.53	0.35	0	0.37
2012	A	4/17/12	9/5/12	1345	-0.01	-4.3	-0.5	0
2012	AU	5/4/12	9/5/12	1456	0.27	-2.9	-0.23	0
2012	AB	5/4/12	9/5/12	1548	0.38	-2.7	-0.14	0
2012	B	4/16/12	9/5/12	1686	0.65	-1.35	-0.32	0.03
2012	D	4/18/12	9/5/12	1848	1.02	0.47	0	0.23
2012	V	4/18/12	9/7/12	1881	0.77	0.17	0	0.17
2012	X	4/17/12	9/8/12	2030	1.29	1.47	0	0.32
2013	A	4/18/13	8/26/13	1341	0.4	-4.77	-0.07	0
2013	AU	4/18/13	8/26/13	1453	0.38	-3.87	-0.14	0
2013	AB	4/18/13	8/26/13	1545	0.41	-3.53	-0.11	0
2013	B	4/18/13	8/27/13	1684	1.03	-1.78	0	0.05
2013	D	4/16/13	8/27/13	1847	1.33	-0.1	0	0.16
2013	T	4/16/13	8/26/13	1869	1.85	0.65	NaN	0.18
2013	V	4/1/13	8/26/13	1880	NaN	-0.57	0	0.11
2013	X	4/20/13	8/26/13	2031	1.54	0.44	0	0.25
2014	A	4/17/14	8/25/14	1337	0.07	-3.29	-0.51	0
2014	AU	4/17/14	8/25/14	1451	0.09	-2.72	-0.59	0
2014	AB	4/17/14	8/25/14	1543	0.83	-1.42	NaN	0
2014	B	4/17/14	8/24/14	1683	1.08	-0.4	0	0
2014	D	4/15/14	8/24/14	1846	1.36	0.66	0	0
2014	T	4/19/14	8/26/14	1869	NaN	0.65	0	0
2014	V	4/18/14	8/24/14	1879	1.42	0.56	0	0
2014	X	4/19/14	8/24/14	2031	1.61	1.45	0	0.06
2015	A	4/16/15	9/23/15	1334	0.14	NaN	-0.38	NaN
2015	AU	4/16/15	9/23/15	1448	0.33	-3.71	-0.23	0.14
2015	AB	4/16/15	9/23/15	1541	0.28	-1.9	-0.3	0.21
2015	B	4/14/15	9/23/15	1682	0.78	-1.81	-0.01	0.23
2015	D	4/14/15	9/24/15	1845	0.75	-0.33	-0.07	0.35
2015	T	4/15/15	9/24/15	1869	1.12	NaN	NaN	0.38
2015	V	4/14/15	10/1/15	1879	0.92	NaN	-0.04	NaN
2015	X	4/15/15	9/24/15	2031	1.17	0.53	0	0.41
2016	A	4/25/16	10/1/16	1330	0.1	NaN	0	NaN
2016	AU	4/25/16	10/1/16	1446	0.2	NaN	0	NaN
2016	AB	4/25/16	10/1/16	1539	0.3	NaN	0	NaN
2016	B	4/25/16	10/1/16	1680	0.7	NaN	0	NaN
